"Crash.ID","State","Month","Year","Crash.Type","Number.Fatalities","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","National.LGA.Name.2017","Christmas.Period","Easter.Period","Time.of.day"
20203203,"Qld",11,2020,"Single",1,"No","No","No","100","Cassowary Coast (R)","No","No","Night"
20201095,"NSW",11,2020,"Single",1,"No","No","No","50","Wollongong","No","No","Day"
20203172,"Qld",11,2020,"Multiple",1,"No","No","No","60","Logan (C)","No","No","Day"
20201113,"NSW",11,2020,"Single",1,"No","No","No","100","Inverell","No","No","Day"
20202111,"Vic",11,2020,"Single",1,"No","No","No","60","Mornington Peninsula (S)","No","No","Night"
20201039,"NSW",11,2020,"Single",1,"No","No","No","100","Maitland","No","No","Night"
20203118,"Qld",11,2020,"Multiple",1,"No","No","No","80","Noosa (S)","No","No","Day"
20206013,"Tas",11,2020,"Multiple",1,"No","No","No","50","Hobart (C)","No","No","Night"
20202121,"Vic",11,2020,"Single",1,"No","No","No","100","Loddon (S)","No","No","Day"
20201165,"NSW",11,2020,"Multiple",1,"No","No","No","80","North Sydney","No","No","Day"
20205047,"WA",11,2020,"Multiple",1,"No","No","No","80",NA,"No","No","Night"
20203093,"Qld",11,2020,"Multiple",1,"No","No","No","80","Gold Coast (C)","No","No","Day"
20201155,"NSW",11,2020,"Multiple",1,"No","No","No","90","Lake Macquarie","No","No","Day"
20205084,"WA",11,2020,"Single",1,"No","No","No","80",NA,"No","No","Night"
20202144,"Vic",11,2020,"Single",1,"No","No","No","50","Whittlesea (C)","No","No","Day"
20201239,"NSW",10,2020,"Single",1,"No","No","No","40","Kempsey","No","No","Night"
20203248,"Qld",10,2020,"Multiple",1,"No","No","No","80","Noosa (S)","No","No","Night"
20202075,"Vic",10,2020,"Multiple",1,"No","No","No","100","Golden Plains (S)","No","No","Night"
20203073,"Qld",10,2020,"Multiple",1,"No","No","No","60","Mount Isa (C)","No","No","Night"
20202050,"Vic",10,2020,"Multiple",2,"No","Yes","No","70","Yarra Ranges (S)","No","No","Day"
20201273,"NSW",10,2020,"Multiple",1,"No","No","No","80","Central Coast","No","No","Night"
20203139,"Qld",10,2020,"Single",1,"No","No","No","80","Sunshine Coast (R)","No","No","Night"
20207023,"NT",10,2020,"Multiple",1,"No","No","No","80","Litchfield (M)","No","No","Day"
20205123,"WA",10,2020,"Single",1,"No","No","No","90",NA,"No","No","Night"
20205122,"WA",10,2020,"Single",1,"No","No","No","90",NA,"No","No","Night"
20201037,"NSW",10,2020,"Single",1,"No","No","No","100","Greater Hume","No","No","Night"
20205126,"WA",10,2020,"Single",1,"No","No","No","100",NA,"No","No","Day"
20201174,"NSW",10,2020,"Single",1,"No","No","No","110","Lake Macquarie","No","No","Night"
20205008,"WA",10,2020,"Multiple",1,"No","No","No","50",NA,"No","No","Day"
20202113,"Vic",10,2020,"Multiple",1,"No","No","No","60","Port Phillip (C)","No","No","Night"
20207017,"NT",10,2020,"Multiple",1,"No","No","No","60","Alice Springs (T)","No","No","Night"
20203217,"Qld",10,2020,"Single",1,"No","No","No","100","Fraser Coast (R)","No","No","Night"
20206009,"Tas",10,2020,"Multiple",1,"No","No","No","100","Sorell (M)","No","No","Day"
20201253,"NSW",10,2020,"Multiple",1,"No","No","No","80","Penrith","No","No","Night"
20202003,"Vic",10,2020,"Multiple",1,"No","No","Yes","50","Melbourne (C)","No","No","Day"
20204010,"SA",10,2020,"Single",1,"No","No","No","80","Playford (C)","No","No","Night"
20202088,"Vic",10,2020,"Single",1,"No","No","No","100","Whittlesea (C)","No","No","Day"
20203010,"Qld",10,2020,"Single",1,"No","No","No","110","Gold Coast (C)","No","No","Night"
20203037,"Qld",10,2020,"Single",1,"No","No","No","80","Cairns (R)","No","No","Day"
20201003,"NSW",10,2020,"Single",1,"No","No","No","100","Byron","No","No","Night"
20205062,"WA",10,2020,"Multiple",1,"No","Yes","No","110",NA,"No","No","Night"
20202112,"Vic",10,2020,"Single",1,"No","No","Yes","110","Mildura (RC)","No","No","Night"
20205091,"WA",10,2020,"Single",1,"No","No","No","110",NA,"No","No","Night"
20203159,"Qld",10,2020,"Single",1,"No","No","No","80","Cairns (R)","No","No","Night"
20208001,"ACT",10,2020,"Single",1,"No","No","No","50",NA,"No","No","Night"
20205015,"WA",10,2020,"Single",1,"No","No","No","110",NA,"No","No","Day"
20203205,"Qld",10,2020,"Single",1,"No","No","No","80","Logan (C)","No","No","Day"
20205077,"WA",10,2020,"Multiple",1,"Yes","No","No","50",NA,"No","No","Day"
20203095,"Qld",10,2020,"Multiple",1,"No","No","No","100","Livingstone (S)","No","No","Day"
20201020,"NSW",10,2020,"Single",1,"No","No","No","50","Cumberland","No","No","Night"
20202175,"Vic",10,2020,"Multiple",1,"No","No","No","110","Moorabool (S)","No","No","Day"
20204085,"SA",10,2020,"Single",1,"No","No","No","100","Mount Barker (DC)","No","No","Night"
20205065,"WA",10,2020,"Multiple",1,"No","Yes","No","70",NA,"No","No","Day"
20202010,"Vic",10,2020,"Multiple",1,"No","No","Yes","100","Greater Shepparton (C)","No","No","Night"
20201060,"NSW",10,2020,"Single",1,"No","No","No","80","Hilltops","No","No","Day"
20205032,"WA",10,2020,"Single",1,"No","No","No","80",NA,"No","No","Day"
20203249,"Qld",10,2020,"Multiple",1,"No","No","No","60","Sunshine Coast (R)","No","No","Night"
20203221,"Qld",10,2020,"Multiple",1,"No","No","No","80","Logan (C)","No","No","Night"
20205064,"WA",10,2020,"Single",1,"No","No","No","50",NA,"No","No","Day"
20205039,"WA",10,2020,"Single",1,"No","No","No","110",NA,"No","No","Day"
20201026,"NSW",10,2020,"Multiple",1,"No","Yes","No","100","Snowy Monaro Regional","No","No","Day"
20203196,"Qld",10,2020,"Multiple",1,"No","No","Yes","100","Isaac (R)","No","No","Night"
20203064,"Qld",10,2020,"Single",1,"No","No","No","80","Cook (S)","No","No","Day"
20205057,"WA",10,2020,"Single",1,"No","No","No","110",NA,"No","No","Day"
20201164,"NSW",10,2020,"Single",1,"No","No","No","80","Central Coast","No","No","Day"
20201063,"NSW",10,2020,"Multiple",1,"No","No","No","100","Wollondilly","No","No","Night"
20202034,"Vic",10,2020,"Multiple",2,"No","No","Yes","100","South Gippsland (S)","No","No","Day"
20204035,"SA",10,2020,"Single",1,"No","No","No","60","Charles Sturt (C)","No","No","Night"
20203209,"Qld",10,2020,"Multiple",1,"No","No","Yes","100","Mareeba (S)","No","No","Day"
20202128,"Vic",10,2020,"Single",1,"No","No","No","100","Bass Coast (S)","No","No","Night"
20201008,"NSW",10,2020,"Single",1,"No","No","No","80","Lake Macquarie","No","No","Day"
20205134,"WA",10,2020,"Single",3,"No","No","No","110",NA,"No","No","Day"
20202040,"Vic",10,2020,"Multiple",1,"No","No","No","100","Yarra Ranges (S)","No","No","Day"
20206028,"Tas",10,2020,"Multiple",1,"No","No","No","80","Clarence (C)","No","No","Night"
20202132,"Vic",10,2020,"Multiple",1,"No","No","No","80","Greater Geelong (C)","No","No","Day"
20201207,"NSW",10,2020,"Single",1,"No","No","No","110","Hay","No","No","Night"
20204052,"SA",10,2020,"Single",1,"No","Yes","No","80","Adelaide Hills (DC)","No","No","Day"
20201176,"NSW",10,2020,"Multiple",1,"No","No","No","50","Wollongong","No","No","Day"
20203250,"Qld",10,2020,"Single",1,"No","No","No","90","Logan (C)","No","No","Day"
20203192,"Qld",10,2020,"Single",1,"No","No","No","60","Toowoomba (R)","No","No","Night"
20201099,"NSW",10,2020,"Single",1,"No","No","No","100","Richmond Valley","No","No","Day"
20205103,"WA",10,2020,"Single",1,"No","No","No","110",NA,"No","No","Night"
20202195,"Vic",10,2020,"Single",1,"No","No","No","110","Mitchell (S)","No","No","Day"
20203106,"Qld",10,2020,"Multiple",1,"No","No","No","110","Gympie (R)","No","No","Night"
20203029,"Qld",10,2020,"Multiple",1,"No","No","No","60","Logan (C)","No","No","Day"
20206015,"Tas",10,2020,"Multiple",1,"No","No","No","50","Hobart (C)","No","No","Day"
20203074,"Qld",10,2020,"Multiple",1,"No","No","No","100","Mackay (R)","No","No","Day"
20203129,"Qld",10,2020,"Multiple",1,"No","No","No","80","Brisbane (C)","No","No","Day"
20203050,"Qld",10,2020,"Single",1,"No","No","No","100","Cloncurry (S)","No","No","Day"
20205053,"WA",10,2020,"Single",1,"No","No","No","110",NA,"No","No","Night"
20204020,"SA",10,2020,"Single",1,"No","No","No","110","Unincorporated SA","No","No","Day"
20201078,"NSW",10,2020,"Multiple",1,"No","No","No","100","Tweed","No","No","Day"
20203079,"Qld",10,2020,"Single",1,"No","No","No","60","Scenic Rim (R)","No","No","Day"
