"Crash.ID","State","Month","Year","Crash.Type","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","Road.User","Gender","Age","National.LGA.Name.2017","Christmas.Period","Easter.Period","Age.Group","Time.of.day"
20202090,"Vic",12,2020,"Multiple","No","No","No","100","Driver","Male",83,"Latrobe (C) (Vic.)","Yes","No","75_or_older","Day"
20205090,"WA",12,2020,"Multiple","No","No","No","100","Motorcycle rider","Male",39,NA,"No","No","26_to_39","Day"
20203001,"Qld",12,2020,"Single","No","No","No","110","Passenger","Male",28,"Mount Isa (C)","No","No","26_to_39","Night"
20205054,"WA",12,2020,"Multiple","No","No","Yes","110","Driver","Male",56,NA,"No","No","40_to_64","Day"
20205135,"WA",12,2020,"Multiple","No","No","Yes","110","Driver","Male",75,NA,"No","No","75_or_older","Day"
20205054,"WA",12,2020,"Multiple","No","No","Yes","110","Driver","Male",58,NA,"No","No","40_to_64","Day"
20202091,"Vic",12,2020,"Single","No","No","No","70","Pedestrian","Female",34,"Maribyrnong (C)","No","No","26_to_39","Night"
20205050,"WA",12,2020,"Multiple","No","Yes","No",NA,"Pedestrian","Male",31,NA,"No","No","26_to_39","Night"
20203146,"Qld",12,2020,"Multiple","No","No","No","80","Driver","Female",70,"Gold Coast (C)","No","No","65_to_74","Day"
20203065,"Qld",12,2020,"Single","No","No","No","70","Passenger","Female",19,"Sunshine Coast (R)","No","No","17_to_25","Night"
20203206,"Qld",12,2020,"Multiple","No","No","No","80","Driver","Male",78,"Bundaberg (R)","No","No","75_or_older","Day"
20202001,"Vic",12,2020,"Multiple","No","No","Yes","100","Driver","Male",24,"Horsham (RC)","Yes","No","17_to_25","Night"
20203208,"Qld",12,2020,"Single","No","No","No","100","Driver","Female",35,"Bundaberg (R)","Yes","No","26_to_39","Night"
20203195,"Qld",12,2020,"Single","No","No","No","100","Driver","Male",29,"Central Highlands (R) (Qld)","No","No","26_to_39","Night"
20205029,"WA",12,2020,"Single","No","No","No","50","Other/-9","Male",24,NA,"No","No","17_to_25","Day"
20203138,"Qld",12,2020,"Single","No","No","No","80","Driver","Male",18,"Sunshine Coast (R)","Yes","No","17_to_25","Night"
20206005,"Tas",12,2020,"Single","No","No","No","50","Motorcycle rider","Male",14,"Glenorchy (C)","Yes","No","0_to_16","Night"
20203145,"Qld",12,2020,"Single","No","No","No","60","Driver","Male",26,"Sunshine Coast (R)","No","No","26_to_39","Night"
20204079,"SA",12,2020,"Single","No","No","No","110","Driver","Male",21,"Unincorporated SA","No","No","17_to_25","Night"
20202148,"Vic",12,2020,"Multiple","No","No","No","60","Motorcycle rider","Male",26,"Moorabool (S)","No","No","26_to_39","Night"
20205098,"WA",12,2020,"Single","No","No","No","80","Driver","Male",64,NA,"No","No","40_to_64","Night"
20207021,"NT",12,2020,"Single","No","No","No","60","Passenger","Male",24,"Katherine (T)","No","No","17_to_25","Night"
20207021,"NT",12,2020,"Single","No","No","No","60","Passenger","Male",19,"Katherine (T)","No","No","17_to_25","Night"
20202133,"Vic",12,2020,"Single","No","No","No",NA,"Passenger",NA,21,"East Gippsland (S)","Yes","No","17_to_25","Night"
20201064,"NSW",12,2020,"Single","No","No","No","60","Driver","Male",56,"Georges River","No","No","40_to_64","Night"
20201116,"NSW",12,2020,"Single","No","No","No","80","Driver","Male",56,"Wentworth","No","No","40_to_64","Night"
20205052,"WA",12,2020,"Multiple","No","No","No","70","Motorcycle rider","Male",53,NA,"No","No","40_to_64","Night"
20201265,"NSW",12,2020,"Single","No","No","No","100","Driver","Male",26,"Dubbo Regional","No","No","26_to_39","Night"
20201069,"NSW",12,2020,"Single","No","No","No","60","Motorcycle rider","Female",20,"Parramatta","Yes","No","17_to_25","Night"
20201001,"NSW",12,2020,"Single","No","No","No","80","Passenger","Male",18,"Camden","Yes","No","17_to_25","Night"
20202187,"Vic",11,2020,"Single","No","No","Yes","60","Pedestrian","Female",35,"Banyule (C)","No","No","26_to_39","Day"
20204030,"SA",11,2020,"Single","No","No","No","100","Passenger","Female",20,"Ceduna (DC)","No","No","17_to_25","Night"
20202097,"Vic",11,2020,"Single","No","No","No","60","Motorcycle rider","Male",40,"East Gippsland (S)","No","No","40_to_64","Night"
20207010,"NT",11,2020,"Single","No","No","No","80","Driver","Male",30,"Litchfield (M)","No","No","26_to_39","Night"
20203068,"Qld",11,2020,"Multiple","No","No","No","60","Pedestrian","Male",51,"Moreton Bay (R)","No","No","40_to_64","Day"
20203055,"Qld",11,2020,"Multiple","No","No","Yes","100","Driver","Male",27,"Livingstone (S)","No","No","26_to_39","Night"
20205087,"WA",11,2020,"Multiple","No","No","Yes","110","Driver","Female",58,NA,"No","No","40_to_64","Day"
20203085,"Qld",11,2020,"Single","No","No","No","60","Motorcycle rider","Male",28,"Sunshine Coast (R)","No","No","26_to_39","Night"
20202124,"Vic",11,2020,"Multiple","No","No","No","60","Driver","Female",75,"Kingston (C) (Vic.)","No","No","75_or_older","Night"
20207006,"NT",11,2020,"Single","No","No","No","80","Passenger","Male",25,"Victoria Daly (R)","No","No","17_to_25","Night"
20201095,"NSW",11,2020,"Single","No","No","No","50","Pedestrian","Male",57,"Wollongong","No","No","40_to_64","Day"
20201200,"NSW",11,2020,"Single","No","No","No","60","Passenger","Male",15,"Fairfield","No","No","0_to_16","Night"
20205076,"WA",11,2020,"Multiple","No","No","No","60","Motorcycle rider","Male",58,NA,"No","No","40_to_64","Day"
20203109,"Qld",11,2020,"Single","No","No","No","100","Driver","Male",19,"Toowoomba (R)","No","No","17_to_25","Night"
20202140,"Vic",11,2020,"Single","No","No","No","50","Other/-9","Male",34,"Brimbank (C)","No","No","26_to_39","Night"
20201277,"NSW",11,2020,"Single","No","No","No","100","Driver","Male",29,"Oberon","No","No","26_to_39","Night"
20202045,"Vic",11,2020,"Single","No","No","No","60","Pedestrian","Male",19,"Whittlesea (C)","No","No","17_to_25","Night"
20201149,"NSW",11,2020,"Multiple","No","Yes","No","50","Pedal cyclist","Male",37,"Sydney","No","No","26_to_39","Night"
20202129,"Vic",11,2020,"Multiple","No","No","No","100","Driver","Male",87,"Central Goldfields (S)","No","No","75_or_older","Day"
20201125,"NSW",11,2020,"Multiple","No","No","No","50","Pedestrian","Female",19,"Wollongong","No","No","17_to_25","Night"
20205084,"WA",11,2020,"Single","No","No","No","80","Driver","Male",25,NA,"No","No","17_to_25","Night"
20205119,"WA",11,2020,"Single","No","No","No","110","Driver","Female",17,NA,"No","No","17_to_25","Night"
20206014,"Tas",11,2020,"Single","No","No","No","100","Pedestrian","Male",29,"Glenorchy (C)","No","No","26_to_39","Night"
20205119,"WA",11,2020,"Single","No","No","No","110","Passenger","Male",17,NA,"No","No","17_to_25","Night"
20201202,"NSW",11,2020,"Multiple","No","No","No","50","Passenger","Female",94,"Wollongong","No","No","75_or_older","Day"
20201200,"NSW",11,2020,"Single","No","No","No","60","Driver","Male",17,"Fairfield","No","No","17_to_25","Night"
20201264,"NSW",11,2020,"Multiple","No","No","No","60","Driver","Male",32,"Hawkesbury","No","No","26_to_39","Night"
20203183,"Qld",11,2020,"Multiple","No","No","Yes","100","Driver","Male",64,"Townsville (C)","No","No","40_to_64","Night"
20203203,"Qld",11,2020,"Single","No","No","No","100","Pedestrian","Male",33,"Cassowary Coast (R)","No","No","26_to_39","Night"
20201201,"NSW",11,2020,"Single","No","No","No","100","Driver","Male",44,"Shoalhaven","No","No","40_to_64","Night"
20204046,"SA",11,2020,"Single","No","No","No","100","Driver","Male",16,"Copper Coast (DC)","No","No","0_to_16","Night"
20201227,"NSW",11,2020,"Single","No","No","No","60","Driver","Male",19,"Maitland","No","No","17_to_25","Night"
20204003,"SA",11,2020,"Single","No","No","No","50","Driver","Male",68,"Renmark Paringa (DC)","No","No","65_to_74","Day"
20201124,"NSW",11,2020,"Single","No","No","No","100","Driver","Male",46,"Moree Plains","No","No","40_to_64","Night"
20202085,"Vic",11,2020,"Single","No","No","No","60","Driver","Male",29,"Wyndham (C)","No","No","26_to_39","Night"
20205037,"WA",11,2020,"Single","No","No","No","80","Driver","Male",51,NA,"No","No","40_to_64","Night"
20202019,"Vic",11,2020,"Multiple","No","Yes","No","60","Driver","Male",80,"Cardinia (S)","No","No","75_or_older","Day"
20205093,"WA",11,2020,"Single","No","No","No","80","Passenger","Female",19,NA,"No","No","17_to_25","Night"
20205099,"WA",11,2020,"Single","No","No","No","80","Motorcycle rider","Male",42,NA,"No","No","40_to_64","Day"
20204069,"SA",11,2020,"Multiple","No","No","No","50","Driver","Female",59,"Adelaide Hills (DC)","No","No","40_to_64","Night"
20203140,"Qld",11,2020,"Multiple","Yes","No","No","80","Driver","Female",84,"Bundaberg (R)","No","No","75_or_older","Day"
20203025,"Qld",11,2020,"Single","No","No","Yes","100","Driver","Male",61,"Bundaberg (R)","No","No","40_to_64","Night"
20205067,"WA",11,2020,"Single","No","No","No","110","Driver","Female",88,NA,"No","No","75_or_older","Day"
20201039,"NSW",11,2020,"Single","No","No","No","100","Passenger","Male",28,"Maitland","No","No","26_to_39","Night"
20201276,"NSW",11,2020,"Multiple","No","Yes","No","100","Passenger","Female",33,"Bland","No","No","26_to_39","Day"
20205047,"WA",11,2020,"Multiple","No","No","No","80","Pedestrian","Male",37,NA,"No","No","26_to_39","Night"
20201077,"NSW",11,2020,"Multiple","No","No","No","100","Motorcycle rider","Male",71,"Cabonne","No","No","65_to_74","Day"
20202111,"Vic",11,2020,"Single","No","No","No","60","Passenger","Female",23,"Mornington Peninsula (S)","No","No","17_to_25","Night"
20203103,"Qld",11,2020,"Single","No","No","No","100","Passenger","Female",4,"Scenic Rim (R)","No","No","0_to_16","Day"
20201030,"NSW",11,2020,"Multiple","No","Yes","No","60","Motorcycle rider","Male",20,"Bayside","No","No","17_to_25","Night"
20205089,"WA",11,2020,"Single","No","No","No","50","Passenger","Female",15,NA,"No","No","0_to_16","Night"
20202144,"Vic",11,2020,"Single","No","No","No","50","Driver","Male",17,"Whittlesea (C)","No","No","17_to_25","Day"
20203230,"Qld",11,2020,"Multiple","No","No","No","100","Motorcycle rider","Male",53,"Gold Coast (C)","No","No","40_to_64","Night"
20203006,"Qld",11,2020,"Multiple","No","No","Yes","100","Driver","Male",61,"Isaac (R)","No","No","40_to_64","Day"
20205025,"WA",11,2020,"Multiple","No","No","No","110","Passenger","Female",2,NA,"No","No","0_to_16","Day"
20203113,"Qld",11,2020,"Single","No","No","No","100","Driver","Male",50,"Somerset (R)","No","No","40_to_64","Day"
20202102,"Vic",11,2020,"Multiple","No","No","No","100","Motorcycle rider","Male",62,"Wellington (S)","No","No","40_to_64","Day"
20203118,"Qld",11,2020,"Multiple","No","No","No","80","Motorcycle rider","Male",53,"Noosa (S)","No","No","40_to_64","Day"
20201157,"NSW",11,2020,"Single","No","No","No","100","Driver","Male",55,"Junee","No","No","40_to_64","Night"
20204056,"SA",11,2020,"Multiple","No","No","No","110","Driver","Male",75,"Goyder (DC)","No","No","75_or_older","Day"
20204053,"SA",11,2020,"Multiple","No","No","No","110","Passenger","Male",80,"Grant (DC)","No","No","75_or_older","Day"
20201165,"NSW",11,2020,"Multiple","No","No","No","80","Motorcycle rider","Male",28,"North Sydney","No","No","26_to_39","Day"
20205025,"WA",11,2020,"Multiple","No","No","No","110","Driver","Female",57,NA,"No","No","40_to_64","Day"
20205133,"WA",11,2020,"Single","No","No","No","50","Passenger","Male",52,NA,"No","No","40_to_64","Day"
20204053,"SA",11,2020,"Multiple","No","No","No","110","Driver","Female",77,"Grant (DC)","No","No","75_or_older","Day"
20204006,"SA",11,2020,"Single","No","No","No","100","Driver","Male",37,"Unincorporated SA","No","No","26_to_39","Day"
20203078,"Qld",11,2020,"Single","No","No","No","100","Passenger","Female",18,"Gladstone (R)","No","No","17_to_25","Day"
20202164,"Vic",11,2020,"Single","No","No","No","60","Pedestrian","Male",32,"Melbourne (C)","No","No","26_to_39","Day"
20201032,"NSW",11,2020,"Multiple","No","No","No","100","Motorcycle rider","Male",39,"Snowy Valleys","No","No","26_to_39","Day"
20201113,"NSW",11,2020,"Single","No","No","No","100","Driver","Male",60,"Inverell","No","No","40_to_64","Day"
20202047,"Vic",11,2020,"Single","No","No","No","100","Motorcycle rider","Male",69,"Indigo (S)","No","No","65_to_74","Day"
20203006,"Qld",11,2020,"Multiple","No","No","Yes","100","Driver","Male",39,"Isaac (R)","No","No","26_to_39","Day"
20204018,"SA",11,2020,"Multiple","Yes","No","No","60","Motorcycle rider","Male",23,"Marion (C)","No","No","17_to_25","Day"
20203043,"Qld",11,2020,"Single","No","No","No","100","Driver","Male",20,"Somerset (R)","No","No","17_to_25","Night"
20203121,"Qld",11,2020,"Multiple","No","No","No","80","Motorcycle rider","Male",54,"Gold Coast (C)","No","No","40_to_64","Day"
20204071,"SA",11,2020,"Multiple","No","No","No","60","Motorcycle rider","Male",53,"Campbelltown (C) (SA)","No","No","40_to_64","Day"
20201010,"NSW",11,2020,"Multiple","No","Yes","No","100","Driver","Male",72,"Eurobodalla","No","No","65_to_74","Day"
20201216,"NSW",11,2020,"Single","No","No","No","100","Driver","Female",44,"Carrathool","No","No","40_to_64","Night"
20201259,"NSW",11,2020,"Multiple","No","No","No","60","Driver","Female",51,"Central Coast","No","No","40_to_64","Day"
20201109,"NSW",11,2020,"Multiple","No","No","No","60","Pedal cyclist","Male",27,"Bayside","No","No","26_to_39","Day"
20202121,"Vic",11,2020,"Single","No","No","No","100","Driver","Female",44,"Loddon (S)","No","No","40_to_64","Day"
20201155,"NSW",11,2020,"Multiple","No","No","No","90","Driver","Male",42,"Lake Macquarie","No","No","40_to_64","Day"
20204053,"SA",11,2020,"Multiple","No","No","No","110","Passenger","Female",55,"Grant (DC)","No","No","40_to_64","Day"
20205105,"WA",11,2020,"Multiple","No","No","No","110","Driver","Male",36,NA,"No","No","26_to_39","Day"
20203172,"Qld",11,2020,"Multiple","No","No","No","60","Motorcycle rider","Male",29,"Logan (C)","No","No","26_to_39","Day"
20204041,"SA",11,2020,"Single","No","No","No","100","Driver","Male",46,"Light (RegC)","No","No","40_to_64","Night"
20204070,"SA",11,2020,"Multiple","No","No","No","80","Driver","Male",80,"Alexandrina (DC)","No","No","75_or_older","Day"
20206013,"Tas",11,2020,"Multiple","No","No","No","50","Motorcycle rider","Male",26,"Hobart (C)","No","No","26_to_39","Night"
20207014,"NT",11,2020,"Multiple","No","No","No","110","Driver","Female",75,"Litchfield (M)","No","No","75_or_older","Night"
20203103,"Qld",11,2020,"Single","No","No","No","100","Passenger","Male",13,"Scenic Rim (R)","No","No","0_to_16","Day"
20205105,"WA",11,2020,"Multiple","No","No","No","110","Passenger","Female",31,NA,"No","No","26_to_39","Day"
